step,mean_associator,mean_energy
0,0.083283074,0.39303434
1,0.076114036,0.38142055
2,0.066323936,0.36438882
3,0.054912884,0.34240302
4,0.042982683,0.31609988
5,0.03158724,0.28631786
6,0.021598613,0.2541567
7,0.013612204,0.22109576
8,0.00791026,0.18921205
9,0.0044881697,0.16151306
10,0.003049913,0.14216624
11,0.00294328,0.13559045
12,0.0037197322,0.14327165
13,0.0054030484,0.16205567
14,0.00818448,0.18707643
15,0.01221285,0.21434529
16,0.017441658,0.24122447
17,0.023594473,0.2660582
18,0.03020375,0.2877975
19,0.03668565,0.30578217
20,0.042435415,0.3196275
21,0.046919513,0.3291649
22,0.049751263,0.33441034
23,0.050740037,0.33554518
24,0.049907107,0.33290455
25,0.04746951,0.3269682
26,0.04379978,0.31835252
27,0.03937021,0.30779976
28,0.034689624,0.29615903
29,0.030243028,0.28435108
30,0.02643568,0.2733092
31,0.023534527,0.26390034
32,0.021635568,0.2568371
33,0.020693982,0.25259212
34,0.02057209,0.25132874
35,0.021127217,0.25287616
36,0.022229504,0.2567721
37,0.023732543,0.2623541
38,0.025495972,0.26887134
39,0.027381942,0.27559498
40,0.029239262,0.2819021
41,0.030928269,0.2873196
42,0.032331936,0.29153565
43,0.033373114,0.29439312
44,0.03401842,0.29587477
45,0.034260474,0.29608306
46,0.034120437,0.2952168
47,0.03365902,0.2935453
48,0.032974932,0.29138213
49,0.03217192,0.28905618
