mass_1_source,mass_2_source,chirp_mass_source,redshift,luminosity_distance
38.0,11.3,15.0,0.59,3500.0
13.1,7.8,8.75,0.22,1120.0
34.2,27.7,26.6,0.23,1170.0
60.0,24.0,34.0,1.04,7100.0
28.3,14.8,17.5,0.38,2100.0
37.8,20.0,23.4,0.28,1480.0
19.3,14.0,14.2,0.22,1150.0
40.0,32.7,31.1,0.32,1710.0
38.9,27.9,28.2,0.66,4000.0
87.0,61.0,62.0,0.9,6000.0
37.5,27.9,27.6,0.57,3400.0
51.0,30.0,32.9,0.63,3800.0
24.1,2.83,6.56,0.19,940.0
35.6,27.1,26.7,0.57,3400.0
51.0,12.3,19.8,0.66,4100.0
37.7,27.4,27.7,0.4,2230.0
10.1,7.3,7.49,0.09,410.0
34.5,29.0,27.2,0.18,890.0
42.2,32.6,32.0,0.56,3400.0
5.9,1.44,2.43,0.06,290.0
35.6,28.3,27.4,0.24,1250.0
49.4,37.0,36.5,0.69,4300.0
45.1,34.7,33.8,0.51,3000.0
31.1,1.17,4.31,0.11,550.0
12.1,7.7,8.33,0.07,340.0
24.9,18.1,18.4,0.35,1930.0
11.7,8.4,8.56,0.13,640.0
27.3,19.2,19.8,0.34,1900.0
10.7,6.7,7.31,0.16,790.0
53.0,24.0,29.9,0.57,3400.0
12.1,8.3,8.65,0.3,1620.0
29.0,5.9,10.7,0.26,1370.0
65.0,47.0,47.5,0.25,1290.0
10.7,7.7,7.82,0.23,1150.0
11.8,7.9,8.34,0.2,990.0
